typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","72","BWA","Botswana","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"21680448","21680448","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"212354600","212354600","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","84","BLZ","Belize","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"538418","538418","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","90","SLB","Solomon Isds","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"758481","758481","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","92","VGB","Br. Virgin Isds","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"108122","108122","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","96","BRN","Brunei Darussalam","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5579","5579","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","100","BGR","Bulgaria","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11961065","11961065","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","104","MMR","Myanmar","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"153464930","153464930","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","108","BDI","Burundi","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"13386633","13386633","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","112","BLR","Belarus","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"14638492","14638492","0","true","false",
